NUM_ASPIRANTE;ID_PREGUNTA;ID_LITERAL
10000;1;4
10000;2;6
10000;3;10
10000;4;13
10000;5;20
10000;6;21
10000;7;28
10000;8;32
10000;9;33
10000;10;38
10000;11;41
10000;12;46
10000;13;52
10000;14;53
10000;15;58
10000;16;64
10000;17;65
10000;18;71
10000;19;74
10000;20;77
10000;21;82
10000;22;86
10000;23;90
10000;24;96
10000;25;98
10000;26;101
10001;1;2
10001;2;6
10001;3;10
10001;4;16
10001;5;20
10001;6;21
10001;7;26
10001;8;32
10001;9;36
10001;10;37
10001;11;43
10001;12;48
10001;13;50
10001;14;55
10001;15;60
10001;16;63
10001;17;66
10001;18;70
10001;19;74
10001;20;77
10001;21;84
10001;22;87
10001;23;90
10001;24;94
10001;25;98
10001;26;102
10002;1;4
10002;2;8
10002;3;12
10002;4;13
10002;5;20
10002;6;24
10002;7;26
10002;8;29
10002;9;33
10002;10;40
10002;11;41
10002;12;47
10002;13;51
10002;14;55
10002;15;58
10002;16;62
10002;17;68
10002;18;70
10002;19;76
10002;20;78
10002;21;84
10002;22;86
10002;23;92
10002;24;94
10002;25;99
10002;26;101
10003;1;4
10003;2;7
10003;3;10
10003;4;15
10003;5;17
10003;6;23
10003;7;25
10003;8;29
10003;9;34
10003;10;40
10003;11;41
10003;12;46
10003;13;52
10003;14;56
10003;15;57
10003;16;62
10003;17;67
10003;18;72
10003;19;75
10003;20;79
10003;21;82
10003;22;85
10003;23;90
10003;24;93
10003;25;98
10003;26;102
10004;1;4
10004;2;5
10004;3;12
10004;4;14
10004;5;18
10004;6;24
10004;7;25
10004;8;30
10004;9;35
10004;10;39
10004;11;41
10004;12;45
10004;13;49
10004;14;56
10004;15;60
10004;16;64
10004;17;67
10004;18;69
10004;19;74
10004;20;78
10004;21;84
10004;22;86
10004;23;89
10004;24;96
10004;25;100
10004;26;103
10005;1;1
10005;2;6
10005;3;10
10005;4;16
10005;5;17
10005;6;22
10005;7;28
10005;8;31
10005;9;34
10005;10;38
10005;11;41
10005;12;48
10005;13;52
10005;14;56
10005;15;57
10005;16;62
10005;17;65
10005;18;71
10005;19;75
10005;20;79
10005;21;84
10005;22;85
10005;23;89
10005;24;96
10005;25;100
10005;26;102
10006;1;1
10006;2;8
10006;3;9
10006;4;15
10006;5;17
10006;6;21
10006;7;27
10006;8;31
10006;9;36
10006;10;40
10006;11;43
10006;12;45
10006;13;49
10006;14;55
10006;15;57
10006;16;62
10006;17;65
10006;18;70
10006;19;74
10006;20;79
10006;21;82
10006;22;87
10006;23;91
10006;24;94
10006;25;97
10006;26;103
10007;1;3
10007;2;8
10007;3;9
10007;4;16
10007;5;19
10007;6;21
10007;7;26
10007;8;29
10007;9;36
10007;10;40
10007;11;43
10007;12;48
10007;13;52
10007;14;55
10007;15;60
10007;16;61
10007;17;68
10007;18;71
10007;19;73
10007;20;77
10007;21;82
10007;22;88
10007;23;89
10007;24;95
10007;25;100
10007;26;104
10008;1;2
10008;2;5
10008;3;9
10008;4;13
10008;5;18
10008;6;23
10008;7;25
10008;8;29
10008;9;34
10008;10;40
10008;11;44
10008;12;47
10008;13;52
10008;14;53
10008;15;58
10008;16;62
10008;17;66
10008;18;69
10008;19;75
10008;20;80
10008;21;82
10008;22;88
10008;23;89
10008;24;94
10008;25;97
10008;26;102
10009;1;1
10009;2;8
10009;3;10
10009;4;15
10009;5;18
10009;6;23
10009;7;25
10009;8;32
10009;9;33
10009;10;40
10009;11;42
10009;12;45
10009;13;51
10009;14;53
10009;15;60
10009;16;61
10009;17;67
10009;18;72
10009;19;74
10009;20;80
10009;21;81
10009;22;86
10009;23;91
10009;24;96
10009;25;97
10009;26;104
10010;1;3
10010;2;7
10010;3;11
10010;4;13
10010;5;18
10010;6;22
10010;7;26
10010;8;31
10010;9;34
10010;10;40
10010;11;43
10010;12;47
10010;13;51
10010;14;55
10010;15;60
10010;16;64
10010;17;67
10010;18;70
10010;19;76
10010;20;79
10010;21;81
10010;22;88
10010;23;91
10010;24;96
10010;25;98
10010;26;103
10011;1;2
10011;2;8
10011;3;10
10011;4;13
10011;5;17
10011;6;21
10011;7;28
10011;8;30
10011;9;33
10011;10;40
10011;11;43
10011;12;46
10011;13;50
10011;14;54
10011;15;60
10011;16;61
10011;17;67
10011;18;69
10011;19;74
10011;20;79
10011;21;81
10011;22;87
10011;23;91
10011;24;96
10011;25;97
10011;26;102
10012;1;4
10012;2;8
10012;3;11
10012;4;15
10012;5;19
10012;6;21
10012;7;26
10012;8;32
10012;9;33
10012;10;37
10012;11;42
10012;12;47
10012;13;52
10012;14;53
10012;15;59
10012;16;64
10012;17;67
10012;18;72
10012;19;76
10012;20;80
10012;21;81
10012;22;88
10012;23;91
10012;24;95
10012;25;98
10012;26;101
10013;1;1
10013;2;7
10013;3;10
10013;4;16
10013;5;20
10013;6;21
10013;7;25
10013;8;30
10013;9;35
10013;10;39
10013;11;41
10013;12;48
10013;13;52
10013;14;55
10013;15;60
10013;16;63
10013;17;67
10013;18;69
10013;19;75
10013;20;77
10013;21;81
10013;22;85
10013;23;91
10013;24;94
10013;25;99
10013;26;102
10014;1;2
10014;2;7
10014;3;9
10014;4;13
10014;5;17
10014;6;21
10014;7;26
10014;8;29
10014;9;34
10014;10;40
10014;11;43
10014;12;45
10014;13;51
10014;14;53
10014;15;57
10014;16;61
10014;17;68
10014;18;69
10014;19;73
10014;20;77
10014;21;84
10014;22;86
10014;23;92
10014;24;95
10014;25;98
10014;26;103
10015;1;4
10015;2;6
10015;3;11
10015;4;13
10015;5;18
10015;6;22
10015;7;27
10015;8;30
10015;9;35
10015;10;38
10015;11;44
10015;12;45
10015;13;51
10015;14;53
10015;15;57
10015;16;63
10015;17;65
10015;18;70
10015;19;73
10015;20;80
10015;21;82
10015;22;86
10015;23;90
10015;24;94
10015;25;100
10015;26;102
10016;1;1
10016;2;7
10016;3;12
10016;4;15
10016;5;19
10016;6;22
10016;7;27
10016;8;31
10016;9;34
10016;10;38
10016;11;41
10016;12;46
10016;13;51
10016;14;53
10016;15;58
10016;16;64
10016;17;68
10016;18;70
10016;19;75
10016;20;78
10016;21;81
10016;22;87
10016;23;89
10016;24;94
10016;25;98
10016;26;102
10017;1;2
10017;2;5
10017;3;12
10017;4;15
10017;5;18
10017;6;24
10017;7;26
10017;8;30
10017;9;36
10017;10;38
10017;11;43
10017;12;48
10017;13;52
10017;14;56
10017;15;57
10017;16;63
10017;17;65
10017;18;70
10017;19;76
10017;20;80
10017;21;81
10017;22;88
10017;23;91
10017;24;95
10017;25;98
10017;26;103
10018;1;3
10018;2;8
10018;3;9
10018;4;14
10018;5;17
10018;6;23
10018;7;25
10018;8;32
10018;9;34
10018;10;37
10018;11;43
10018;12;46
10018;13;49
10018;14;55
10018;15;59
10018;16;63
10018;17;68
10018;18;72
10018;19;73
10018;20;79
10018;21;82
10018;22;87
10018;23;91
10018;24;94
10018;25;99
10018;26;101
10019;1;4
10019;2;5
10019;3;9
10019;4;16
10019;5;18
10019;6;22
10019;7;25
10019;8;32
10019;9;36
10019;10;37
10019;11;42
10019;12;45
10019;13;49
10019;14;55
10019;15;60
10019;16;63
10019;17;66
10019;18;72
10019;19;73
10019;20;80
10019;21;83
10019;22;88
10019;23;92
10019;24;96
10019;25;98
10019;26;102
10020;1;1
10020;2;6
10020;3;10
10020;4;14
10020;5;18
10020;6;21
10020;7;26
10020;8;31
10020;9;35
10020;10;40
10020;11;41
10020;12;48
10020;13;52
10020;14;55
10020;15;60
10020;16;64
