ID_LITERAL;ID_PREGUNTA;CORRECTO;TEXTO
1;1;NO;3x + 5y
2;1;NO;6x + 5y
3;1;NO;6x+ 15y
4;1;SI;6x + 15xy
5;2;SI;8
6;2;NO;8.5
7;2;NO;9
8;2;NO;9.5
9;3;NO;16
10;3;NO;18
11;3;NO;20
12;3;SI;22
13;4;NO;1,570 ft^3
14;4;NO;3,140 ft^3
15;4;NO;157 ft^3
16;4;SI;785 ft^3
17;5;NO;6
18;5;SI;24
19;5;NO;120
20;5;NO;720
21;6;SI;(4y-2)(3x+2)
22;6;NO;(3x-2)(4y+2)
23;6;NO;(4y+2)(6x)
24;6;NO;(3x+2)(4y+2)
25;7;NO;1
26;7;NO;3
27;7;NO;4
28;7;SI;7
29;8;NO;25 pies
30;8;NO;100 pies
31;8;NO;150 pies
32;8;SI;250 pies
33;9;SI;8pi pulgadas cuadradas
34;9;NO;12pi pulgadas cuadradas
35;9;NO;16pi pulgadas cuadradas
36;9;NO;20pi pulgadas cuadradas
37;10;NO;15
38;10;SI;20
39;10;NO;25
40;10;NO;30
41;11;NO;40n>300
42;11;NO;40+n>300
43;11;NO;40+n<=300
44;11;SI;40n<=300
45;12;NO;10
46;12;SI;20
47;12;NO;30
48;12;NO;40
49;13;SI;1/3
50;13;NO;1/2
51;13;NO;2/3
52;13;NO;4/5
53;14;SI;0.9S
54;14;NO;1.5S
55;14;NO;2.2S
56;14;NO;2.8S
57;15;NO;(2,3)
58;15;NO;(3,5)
59;15;NO;(-2,-3)
60;15;SI;(-3,-5)
61;16;NO;2
62;16;SI;3
63;16;NO;5
64;16;NO;7
65;17;NO;3
66;17;NO;5
67;17;SI;10
68;17;NO;20
69;18;SI;0.015
70;18;NO;0.10
71;18;NO;0.15
72;18;NO;0.0015
73;19;NO;25%
74;19;SI;33%
75;19;NO;45%
76;19;NO;67%
77;20;NO;3x^2+ 8xy + 20y^2
78;20;NO;3x^2+ 15xy + 20y^2
79;20;NO;6x^2+ 15xy + 20y^2
80;20;SI;6x^2+ 20xy + 20y^2
81;21;NO;500Y + 200 >= 300
82;21;SI;500Y - 100,000 >= 10,000
83;21;NO;500Y + 200 >= 10,000
84;21;NO;500Y - 200 <= 10,000
85;22;NO;y=x+5
86;22;NO;y=1/3x+5
87;22;SI;y=1/3x+5/3
88;22;NO;y=x+5/3
89;23;NO;-3
90;23;SI;-6
91;23;NO;0
92;23;NO;18
93;24;NO;64 km/h
94;24;SI;65 km/h
95;24;NO;66 km/h
96;24;NO;60 km/h
97;25;NO;51
98;25;NO;59
99;25;SI;55
100;25;NO;57
101;26;NO;x>=3
102;26;SI;x<=3
103;26;NO;x<=4.5
104;26;NO;x>=4.5
