NUM_ASPIRANTE;ID_PREGUNTA;ID_LITERAL
10000;1;4
10000;2;5
10001;1;1
10001;2;7
10002;1;3
10002;2;7
10003;1;2
10003;2;5
10004;1;4
10004;2;7
10005;1;2
10005;2;5
10006;1;3
10006;2;8
10007;1;4
10007;2;7
10008;1;4
10008;2;5
10009;1;1
10009;2;6
10010;1;4
10010;2;7
10011;1;3
10011;2;6
10012;1;3
10012;2;5
10013;1;2
10013;2;6
10014;1;2
10014;2;6
10015;1;1
10015;2;7
10016;1;3
10016;2;5
10017;1;1
10017;2;6
10018;1;4
10018;2;5
10019;1;1
10019;2;7
10020;1;3
10020;2;5
10021;1;4
10021;2;6
10022;1;3
10022;2;5
10023;1;2
10023;2;5
10024;1;3
10024;2;6
10025;1;4
10025;2;8
10026;1;1
10026;2;5
10027;1;2
10027;2;7
10028;1;3
10028;2;7
10029;1;4
10029;2;5
10030;1;1
10030;2;8
10031;1;4
10031;2;5
10032;1;1
10032;2;5
10033;1;1
10033;2;6
10034;1;4
10034;2;8
10035;1;1
10035;2;8
10036;1;3
10036;2;5
10037;1;2
10037;2;6
10038;1;1
10038;2;8
10039;1;3
10039;2;5
10040;1;1
10040;2;7
10041;1;3
10041;2;8
10042;1;2
10042;2;5
10043;1;2
10043;2;7
10044;1;2
10044;2;7
10045;1;2
10045;2;6
10046;1;2
10046;2;6
10047;1;2
10047;2;6
10048;1;1
10048;2;6
10049;1;1
10049;2;6
10050;1;2
10050;2;7
10051;1;2
10051;2;5
10052;1;4
10052;2;6
10053;1;4
10053;2;5
10054;1;1
10054;2;6
10055;1;3
10055;2;7
10056;1;3
10056;2;5
10057;1;4
10057;2;7
10058;1;3
10058;2;5
10059;1;1
10059;2;8
10060;1;1
10060;2;5
10061;1;4
10061;2;8
10062;1;3
10062;2;7
10063;1;1
10063;2;8
10064;1;4
10064;2;5
10065;1;4
10065;2;7
10066;1;1
10066;2;5
10067;1;3
10067;2;7
10068;1;3
10068;2;7
10069;1;1
10069;2;7
10070;1;4
10070;2;7
10071;1;1
10071;2;8
10072;1;1
10072;2;8
10073;1;1
10073;2;6
10074;1;1
10074;2;5
10075;1;1
10075;2;6
10076;1;3
10076;2;8
10077;1;1
10077;2;8
10078;1;2
10078;2;5
10079;1;2
10079;2;8
10080;1;3
10080;2;5
10081;1;1
10081;2;8
10082;1;4
10082;2;5
10083;1;2
10083;2;7
10084;1;1
10084;2;5
10085;1;3
10085;2;8
10086;1;3
10086;2;7
10087;1;4
10087;2;7
10088;1;3
10088;2;8
10089;1;2
10089;2;7
10090;1;3
10090;2;5
10091;1;2
10091;2;5
10092;1;2
10092;2;5
10093;1;3
10093;2;5
10094;1;4
10094;2;7
10095;1;2
10095;2;5
10096;1;1
10096;2;8
10097;1;2
10097;2;5
10098;1;4
10098;2;6
10099;1;1
10099;2;6
10100;1;3
10100;2;5
10101;1;2
10101;2;8
10102;1;1
10102;2;5
10103;1;2
10103;2;8
10104;1;3
10104;2;7
10105;1;1
10105;2;5
10106;1;2
10106;2;8
10107;1;4
10107;2;7
10108;1;3
10108;2;8
10109;1;1
10109;2;7
10110;1;1
10110;2;5
10111;1;4
10111;2;7
10112;1;2
10112;2;7
10113;1;1
10113;2;7
10114;1;2
10114;2;6
10115;1;2
10115;2;6
10116;1;4
10116;2;7
10117;1;1
10117;2;8
10118;1;3
10118;2;5
10119;1;1
10119;2;5
10120;1;3
10120;2;6
10121;1;1
10121;2;5
10122;1;2
10122;2;5
10123;1;4
10123;2;6
10124;1;4
10124;2;7
10125;1;3
10125;2;5
10126;1;3
10126;2;6
10127;1;2
10127;2;5
10128;1;4
10128;2;8
10129;1;3
10129;2;8
10130;1;4
10130;2;6
10131;1;3
10131;2;8
10132;1;3
10132;2;7
10133;1;2
10133;2;5
10134;1;4
10134;2;6
10135;1;3
10135;2;5
10136;1;2
10136;2;6
10137;1;1
10137;2;5
10138;1;1
10138;2;6
10139;1;1
10139;2;6
10140;1;4
10140;2;6
10141;1;1
10141;2;5
10142;1;4
10142;2;8
10143;1;1
10143;2;6
10144;1;1
10144;2;6
10145;1;4
10145;2;7
10146;1;2
10146;2;7
10147;1;1
10147;2;7
10148;1;3
10148;2;5
10149;1;4
10149;2;6
10150;1;2
10150;2;5
10151;1;1
10151;2;6
10152;1;1
10152;2;7
10153;1;3
10153;2;7
10154;1;2
10154;2;5
10155;1;3
10155;2;5
10156;1;4
10156;2;5
10157;1;4
10157;2;7
10158;1;2
10158;2;5
10159;1;4
10159;2;6
10160;1;2
10160;2;5
10161;1;3
10161;2;5
10162;1;1
10162;2;7
10163;1;4
10163;2;5
10164;1;1
10164;2;5
10165;1;2
10165;2;6
10166;1;2
10166;2;8
10167;1;1
10167;2;8
10168;1;3
10168;2;8
10169;1;2
10169;2;6
10170;1;2
10170;2;6
10171;1;3
10171;2;7
10172;1;2
10172;2;6
10173;1;3
10173;2;6
10174;1;4
10174;2;5
10175;1;1
10175;2;8
10176;1;4
10176;2;7
10177;1;1
10177;2;7
10178;1;1
10178;2;7
10179;1;1
10179;2;7
10180;1;3
10180;2;6
10181;1;4
10181;2;5
10182;1;1
10182;2;6
10183;1;2
10183;2;6
10184;1;4
10184;2;5
